Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ФИНАНС""",Признаки нелегального кредитора,4205201509,"650000, Кемеровская обл.-Кузбасс, г.Кемерово, пр.Ленина, д.52",lombarddom.ru,01.02.2021
WHITE WINGS BROKER,Признаки нелегального профессионального участника рынка ценных бумаг,,,ww-broker.com,01.02.2021
"Cash Evolution, IFEKS,24CHANG, Exchange24Online",Признаки финансовой пирамиды,,,"24change.top, cash-evolution.com, exchange24online.com, 24change.com ",01.02.2021
Quantum System Management,Признаки нелегального профессионального участника рынка ценных бумаг,,,"quantum-sys.org, quantumsystem.co, quantum-system.org",01.02.2021
"TryStock, TryStock VisaTe Corp / ""TryStock VisaTe"" LTD (Trystock)",Признаки нелегального профессионального участника рынка ценных бумаг,,"3rd Floor, 120 Baker Street, England, W1U 6TU",trystock.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АУРУМ""",Признаки нелегального кредитора,2370003634,"353579, Краснодарский край, Славянский район, ст.Петровская, ул.Красная, д.36, корпус А",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ГЕРМЕС ПЛЮС ПРОФИТ""",Признаки нелегального кредитора,1435335692,"677007, Республика Саха (Якутия), г. Якутск, ул. Кирова, д. 18 корп. В, офис 104/1",,01.02.2021
Ювелирный салон EVA ,Признаки нелегального кредитора,,"670034, Республика Бурятия, г. Улан-Удэ, пр. 50 лет Октября, д.6",,01.02.2021
"VZV Impex LTD, Vizavi",Признаки нелегального профессионального участника рынка ценных бумаг,,,vizavi.club,01.02.2021
BARCLAYS TRADE LIMITED,Признаки нелегального профессионального участника рынка ценных бумаг,,"27 Knightsbridge, Belgravla, London, United Kingdom, SW1X 7LY",barclaystrade.market,01.02.2021
"Fcorp Servises Ltd, InterCh Globe SIA (RIMarkets)",Признаки нелегального профессионального участника рынка ценных бумаг,,,rimarkets.com,01.02.2021
"MAXITRADE, Market Solutions Ltd., Day Dream Investments Ltd.",Признаки нелегального профессионального участника рынка ценных бумаг,,,maxitrade.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛВАС""",Признаки нелегального кредитора,6162080106,"344101, Ростовская обл., г. Ростов-на-Дону, ул. Ленинградская, д.7, каб. 42",autonomy.finance,01.02.2021
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ПАЛИТРА (ЮЖНЫЙ ЭКСПРЕСС),Признаки нелегального кредитора,2371002930,"353607, Краснодарский край, Староминской район, ст. Староминская, ул. Мира, д. 218 корп. А пом. 21",,01.06.2021
Alpari Limited,Признаки нелегального профессионального участника рынка ценных бумаг,,"C/O Wilfred Services LTD. Suite 305, Griffith Corporate Centre VC0100 Kingstown, Saint Vincent and The Grenadines","alpari.forex, alpari.ru, alpari.com",01.06.2021
"FinOperate, FinOperate Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,finoperate.com,01.02.2021
Adamant Capitals Group LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,"50 st Mary Axe, London, United Kingdom, EC3A 8FR","adamantcapitals.com, adamantfx.io",01.02.2021
GTINVEST LTD (Golden Trust),Признаки нелегального профессионального участника рынка ценных бумаг,,"30 st Mary Axe, London, United Kingdom, EC3A 8EP",gtinvest.com,01.02.2021
"МЕЖДУНАРОДНОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""СТАТУС""",Признаки финансовой пирамиды,7722318451,"109029, г. Москва, ул. Калитниковская ср., д. 47/11, стр. 1.",mpo-status.ru,01.02.2021
"""TopBrok"" LTD (Topbrok)",Признаки нелегального профессионального участника рынка ценных бумаг,,"140 Oxford Street, London, United Kingdom, W1D 1LY",topbrok.com,01.02.2021
"ABCfx, ABC Group Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,"abcfx.pro, abcfx.group",01.02.2021
FINANCIAL MANAGEMENT CORP LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,financial-management.group,01.02.2021
"BenefitFX, ZT-trade Ltd, Mortelle LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,benefitfx.com,01.02.2021
"Crypto Inс, Crypto Invest",Признаки финансовой пирамиды,,"180016, Псковская область, г. Псков, ул. Майора Доставалова, д. 1","cryptoinc.site, moscrypto.site, kapustacoin.ru",01.06.2021
"RESTORATION FINANCIAL CORP, CTTIF, CAPITAL TRADING TOOLS INVESTMENT FIRM, BELGREDOR HOLDING LIMITED",Признаки нелегального профессионального участника рынка ценных бумаг,,,cttif.com,01.02.2021
"Firstonestep LTD, First Rate Exchange Services Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,firstonestep.com,01.02.2021
Restart,Признаки нелегального кредитора,,"664013, Иркутская обл., г. Иркутск, ул. Ледовского, д. 3, корп. А общ.",,01.02.2021
Ювелирный дисконт ALDYN CHEELI ,Признаки нелегального кредитора,,"667000, Республика Тыва, г. Кызыл, ул. Красных Партизан, д. 7-1",aldyn cheeli.ru,01.02.2021
"MEDICO S.R.O., Cartel Finance",Признаки нелегального профессионального участника рынка ценных бумаг,,,cartelfinance.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КРЫМ ЗАЙМ""",Признаки нелегального кредитора,9102016278,"295010, Республика Крым, г. Симферополь, ул. Сельвинского, д. 108, офис. 10",крымзайм.рф,01.02.2021
"""ENIGMAX"" S.A. (Sigma Europe)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Mazawieckie, Varszawa, ul. Swietokrzyska 32/40, 00-116","sigma-europe.com, sigma-europe.co.uk",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МФО""",Признаки нелегального кредитора,6168078801,"344064, Ростовская обл., г. Ростов-на-Дону, ул. Петренко, д. 6, кв. 208",,01.02.2021
"Sharkcatcher LTD, CFT-Partner",Признаки нелегального профессионального участника рынка ценных бумаг,,,"cftpartner.com, kapitalit.org",01.02.2021
"E-Tokens Trade, Invest Trade Aliance LTD, ETOKENSTRADE ",Признаки нелегального профессионального участника рынка ценных бумаг,,,"etokenstrade.com, platform.etokenstrade.com",01.02.2021
"Gloss Trade Lp, GoldBit, Goldexgroup Ltd, Grandex Investment Ltd, GoldBit Finance Company Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,goldbit.one,01.02.2021
"""Elit Property Vision Ltd"" EOOD (IQ TREND)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Kvartal Hristo Smirnenski, ul. Geo Milev, 112, ET parter-ofis №1, 1574 Sofia, Bulguria",iqtrend.com,01.02.2021
"Hanabishi Partners LTD (Finaxis, Terra Finance)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Suite 305, Griffith Corporate Centre, P.O. Box 1510, Beachmont, Kingstown, St. Vincent and the Grenadines","finaxis.io, finaxis.cc, terra-finance.co, terra-finance.сс, investactive.io",01.02.2021
Fortuna,Признаки нелегального кредитора,,"652050, Кемеровская обл.-Кузбасс, г. Юрга, ул. Московская, д. 40",,01.02.2021
iTrade,Признаки финансовой пирамиды,,,"itrade.company, itrade.gutamu.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МБК""",Признаки нелегального кредитора,7710889274,"101000, г. Москва, переулок Спасоглинищевский Б., дом 9/1, строение 16А, ком/манс 1,2/ комнаты с 1 по 4",mbk-credit.ru,01.02.2021
X90 (Indy Group Ltd EOOD),Признаки нелегального профессионального участника рынка ценных бумаг,,"BULGARIA, Sofia region (capital), municipality of Metropolitan gr. Sofia 1408, district, R-n Triaditsa g. k. Ivan Vazov, Burrell, 36",x90.com,01.02.2021
"FALCON FINANCE, FALCON COPY TRADING, Сокол Финанс, RUNA TRADE PC",Признаки нелегального профессионального участника рынка ценных бумаг,,,falcon-finance.com,01.02.2021
"""Elit Property Vision Ltd"" EOOD (GENIUS TRADING)",Признаки нелегального профессионального участника рынка ценных бумаг,,"1574 Sofia, R.A. Hristo Smirnenski, 112 Geo Milev Str., Partner Floor, Office 1",geniustrading.pro,01.02.2021
"""Elit Property Vision Ltd"" EOOD (PrimeXclub)",Признаки нелегального профессионального участника рынка ценных бумаг,,"1574 Sofia, R.A. Hristo Smirnenski, 112 Geo Milev Str., Partner Floor, Office 1",primexclub.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ ДОПОЛНИТЛЬНОГО ОБРАЗОВАНИЯ И РАЗВИТИЯ"" (ИДОИР)",Признаки финансовой пирамиды,5024195414,"143405, Московская обл., г. Красногорск, шоссе Ильинское, д. 1А, оф. 8.3",dukaschool.com,01.02.2021
"Clever Technologies LTD, FXCoins, DAXIOMA",Признаки нелегального профессионального участника рынка ценных бумаг,,,"fxcoins.org, daxioma.com",01.02.2021
XM Global Limited,Признаки нелегального профессионального участника рынка ценных бумаг,,,"xm.com, fxstreet.com, forex.es, fxstreet.ru.com, xmglobal.com",01.02.2021
Ломбард Алмаз,Признаки нелегального кредитора,,"672042, Забайкальский край, г. Чита, ул. Космонавтов, 2;672027, Забайкальский край, г. Чита, ул. Амурская, 82;672027, Забайкальский край, г. Чита, ул. Ленинградская, 24;672040, Забайкальский край, г. Чита, ул. Онискевича, 10;672039, Забайкальский край, г. Чита, ул. Бабушкина, 32Б;672020, Забайкальский край, г. Чита, ул. 1-й микрорайон, 7",,01.02.2021
"CITY CREDIT CAPITAL (UK) LIMITED, City Credit Capital",Признаки нелегального профессионального участника рынка ценных бумаг,,"12th Floor Heron Tower, 110 Bishopsgate, London, EC2N 4AY",cccapital.co.uk,01.02.2021
"Inter Global LP, Anderton LLC, FINANCIST, Utrade, AsiaX",Признаки нелегального профессионального участника рынка ценных бумаг,,,"financist.trade, utrade.world, leader.money, asiax.fund",01.02.2021
